identifier,wiki_url,wiki_snapshot,english_description,chinese_description
DEFAULT_PT_GAS,https://powdertoy.co.uk/Wiki/W/Elements:Gases/zh.html,20250825170646,"Diffuses quickly and is flammable. Liquefies into OIL under pressure. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","石油气,易燃,在压力下液化成油。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_PLEX,https://powdertoy.co.uk/Wiki/W/Elements:Explosives/zh.html,20260107145511,"Solid pressure sensitive explosive. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","C-4塑胶炸弹,压力敏感型炸药,暴露在高压下,电脉冲或者达到爆炸点都可以引发爆炸。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_GOO,https://powdertoy.co.uk/Wiki/W/Elements:Solids/zh.html,20250830155822,"A pressure-sensitive goo that deforms and is gradually consumed under compression. It is not clay dust; CLST is the separate clay material. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.",一种会在压力下变形并逐渐消失的黏胶。它不是黏土粉；黏土粉是单独的 CLST。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。
DEFAULT_PT_ICEI,https://powdertoy.co.uk/Wiki/W/Elements:Solids/zh.html,20250830155822,"Crushes under pressure. Cools down air. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","冰,在压力下会破碎变成雪。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_METL,https://powdertoy.co.uk/Wiki/W/Elements:Electronics/zh.html,20260521203740,"Metal, the basic conductor. Meltable. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","金属,最基础的导体,可以熔化。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_SPRK,https://powdertoy.co.uk/Wiki/W/Elements:Electronics/zh.html,20260521203740,"Electricity. The basis of all electronics in TPT, travels along conductive elements. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","电脉冲,所有电子设备的基础,电脉冲不能单独放置(并不是一个真实的粒子)你需要将其放在导体上。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_SNOW,https://powdertoy.co.uk/Wiki/W/Elements:Powders/zh.html,20260315022917,"Light particles. Created when ICE breaks under pressure. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","雪,轻粉末,ICE在压力下破坏形成雪加热后变成WATR。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_WOOD,https://powdertoy.co.uk/Wiki/W/Elements:Solids/zh.html,20250830155822,"Wood, flammable. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","木头,可燃物允许NEUT通过。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_NEUT,https://powdertoy.co.uk/Wiki/W/Elements:Radioactive/zh.html,20240424211836,"A neutral energy particle affected by Newtonian gravity. Neutrons pass through or react with materials in element-specific ways and drive many fission, isotope, purification, and transmutation reactions. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.",一种不带电、会受牛顿引力影响的能量粒子。中子会按材料规则穿透、被吸收或发生反应，是裂变、同位素、净化和转化玩法的重要触发物。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。
DEFAULT_PT_PLUT,https://powdertoy.co.uk/Wiki/W/Elements:Radioactive/zh.html,20240424211836,"Plutonium. Heavy, fissile particles. Generates neutrons under pressure. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","钚,易裂变,在高压下,被闪电击中或大量的中子轰击时更不稳定。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_PLNT,https://powdertoy.co.uk/Wiki/W/Elements:Solids/zh.html,20250830155822,"Plant, drinks water and grows. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","植物,吸收水分生长,低温时变成蓝色。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_ACID,https://powdertoy.co.uk/Wiki/W/Elements:Liquids/zh.html,20240528002851,"A deadly, flammable corrosive liquid whose life value represents remaining dissolving capacity. It removes many materials according to their hardness, heats up while dissolving them, and glass can shield nearby particles from attack. It ignites several explosives and alkali metals, reacts slowly with water vapour to make caustic gas, and converts lithium into hydrogen instead of simply deleting it.",一种致命、可燃且有腐蚀性的液体，life 值表示剩余腐蚀能力。它会按材料硬度溶解许多物质，反应时自身升温，而玻璃可以保护其后的粒子。它会点燃多种爆炸物和碱金属，与水蒸气缓慢生成腐蚀性气体；遇锂时会生成氢，而不是仅将锂删除。
DEFAULT_PT_VOID,https://powdertoy.co.uk/Wiki/W/Elements:Special/zh.html,20260315022808,"Hole, will drain away any particles. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","虚空,可以吸收物质(除固体即使被活塞推入)并产生少量压力。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_WTRV,https://powdertoy.co.uk/Wiki/W/Elements:Gases/zh.html,20250825170646,"Steam. Produced from hot water. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","水蒸气,水加热到100℃以上或者盐水加热到109.86℃以上时产生。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_CNCT,https://powdertoy.co.uk/Wiki/W/Elements:Powders/zh.html,20260315022917,"Concrete. Can stack on itself or ROCK, collapses with pressure. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","混凝土,重粉末,比石粉坚固且更难熔化。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_DSTW,https://powdertoy.co.uk/Wiki/W/Elements:Liquids/zh.html,20240528002851,"Non-conductive distilled water with the same basic freezing and boiling transitions as ordinary water. Contact with WATR contaminates it back into water, while SALT or SLTW converts it into salt water. It extinguishes fire and reacts with rubidium much like water. When both it and SMKE are between 40 C and 60 C, a rare reaction consumes the smoke and creates BASE.",不导电的蒸馏水，基本凝固点和沸点与普通水相同。接触 WATR 后会被污染并变回水，接触 SALT 或 SLTW 则会形成盐水。它与普通水一样能灭火并可与铷反应；当蒸馏水和 SMKE 都处于 40 至 60 摄氏度时，二者有小概率反应并生成 BASE。
DEFAULT_PT_SALT,https://powdertoy.co.uk/Wiki/W/Elements:Powders/zh.html,20260315022917,"Salt, dissolves in water. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","盐,能溶于WATR形成SLTW。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_SLTW,https://powdertoy.co.uk/Wiki/W/Elements:Liquids/zh.html,20240528002851,"Conductive salt water made from water and salt. It freezes at a lower temperature and boils at a higher temperature than fresh water; boiling can leave SALT while releasing water vapour. It gradually converts nearby SALT or fresh water into more SLTW, kills plants, supports quartz growth, extinguishes most fire, and can ignite warm rubidium.",由水和盐形成的导电盐水。它的凝固点低于淡水、沸点高于淡水，沸腾时会释放水蒸气并可能留下 SALT。它会逐步把邻近盐或淡水转成更多 SLTW，能够杀死植物、促进石英生长、扑灭大多数火焰，也可引燃温度足够高的铷。
DEFAULT_PT_DMND,https://powdertoy.co.uk/Wiki/W/Elements:Special/zh.html,20260315022808,"Diamond: Indestructible pure carbon that remains chemically inert. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.",钻石：坚不可摧且保持化学惰性的纯碳同素异形体。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。
DEFAULT_PT_BMTL,https://powdertoy.co.uk/Wiki/W/Elements:Solids/zh.html,20250830155822,"Breakable metal. Common conductive building material, can melt and break under pressure. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","脆金属,在压力下破坏,高温下熔化。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_BRMT,https://powdertoy.co.uk/Wiki/W/Elements:Powders/zh.html,20260315022917,"Broken Metal: Official broken metal enhanced to preserve and remelt audited OmniPack source metals when marked as recoverable scrap. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.",金属粉：官方破碎金属已增强；带可回收标记时会保存来源金属并按其熔点回炉。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。
DEFAULT_PT_PHOT,https://powdertoy.co.uk/Wiki/W/Elements:Radioactive/zh.html,20240424211836,"Photons. Refract through glass, and different elements change its color. Can ignite flammable materials. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","光子,沿直线传播,不受重力影响,受牛顿万有引力影响,可用于点燃物质或传递热量。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_URAN,https://powdertoy.co.uk/Wiki/W/Elements:Radioactive/zh.html,20240424211836,"Uranium. Heavy particles. Generates heat under pressure. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","铀,核反应的副产品在压力下会快速上升温度(指数关系)在低压或没有压力时会缓慢冷却。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_WAX,https://powdertoy.co.uk/Wiki/W/Elements:Solids/zh.html,20250830155822,"Flammable, melts at moderately high temperatures. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","蜡,加热时会融化。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_MWAX,https://powdertoy.co.uk/Wiki/W/Elements:Liquids/zh.html,20240528002851,"The liquid form of wax, spawned warm enough to remain molten. It solidifies into WAX below 318 K and ignites into FIRE above 673 K; nearby flames can also set it alight because it remains flammable between those transition points. It flows more slowly and is slightly denser than water.",蜡的液态形态，生成时温度足以保持熔融。低于 318 K 时会凝固成 WAX，高于 673 K 时会转成 FIRE；在两个相变点之间仍是可燃液体，也会被邻近火焰点燃。它流动较慢，密度略低于盐水而接近普通液体。
DEFAULT_PT_PSCN,https://powdertoy.co.uk/Wiki/W/Elements:Electronics/zh.html,20260521203740,"P-Type Silicon, Will transfer current to any conductor. Enables powered materials. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","P型硅,可以电脉冲传导给任何导体,可以熔化。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_NSCN,https://powdertoy.co.uk/Wiki/W/Elements:Electronics/zh.html,20260521203740,"N-Type Silicon, Will not transfer current to P-Type Silicon. Disables powered materials. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","N型硅,不会向P型硅传递电脉冲(即电脉冲只能从PSCN单向传导到NSCN)。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_LNTG,https://powdertoy.co.uk/Wiki/W/Elements:Liquids/zh.html,20240528002851,"A highly heat-conductive cryogenic liquid spawned at 70.15 K. In the current nitrogen phase model it freezes into nitrogen ice below 63 K and becomes nitrogen gas above 77 K, replacing the older behaviour where liquid nitrogen simply disappeared when warmed. It is useful for rapid cooling inside its narrow liquid temperature range.",一种生成温度为 70.15 K、导热很快的低温液体。在当前氮相变模型中，低于 63 K 会凝固成氮冰，高于 77 K 会变成氮气，不再沿用旧版本中升温后直接消失的行为。其液态温区很窄，适合进行快速冷却实验。
DEFAULT_PT_INSL,https://powdertoy.co.uk/Wiki/W/Elements:Electronics/zh.html,20260521203740,"Insulator. Blocks heat, electricity, and radiation. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","绝缘体,绝缘体,既不吸收,也不释放热量给其它元素。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_BHOL,https://powdertoy.co.uk/Wiki/W/Elements:Special/zh.html,20260315022808,"Vacuum, sucks in other particles and heats up. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","吸气孔,产生引力吸入物质并升温。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_WHOL,https://powdertoy.co.uk/Wiki/W/Elements:Special/zh.html,20260315022808,"Air vent, creates pressure and pushes other particles away. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","排气孔,产生斥力排斥物质。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_RBDM,https://powdertoy.co.uk/Wiki/W/Elements:Explosives/zh.html,20260107145511,"Rubidium. Explosive, especially on contact with water. Low melting point. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","固态铷,低熔点,可以导电,遇水爆炸。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_LRBD,https://powdertoy.co.uk/Wiki/W/Elements:Explosives/zh.html,20260107145511,"Liquid Rubidium. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","液态铷,压力越大,爆炸点越低。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_NTCT,https://powdertoy.co.uk/Wiki/W/Elements:Electronics/zh.html,20260521203740,"NTC Thermistor. Conducts with PSCN and NSCN, but only when heated above 100C. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","负温度系数热敏电阻,只有超过100℃时才导电。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_SAND,https://powdertoy.co.uk/Wiki/W/Elements:Powders/zh.html,20260315022917,"Sand, Heavy particles. Melts into glass. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","沙子,重粉末,熔化后冷却能形成玻璃。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_GLAS,https://powdertoy.co.uk/Wiki/W/Elements:Solids/zh.html,20250830155822,"Glass. Meltable. Shatters under pressure, and refracts photons. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","玻璃,可熔,在压力下破碎,可以将光子分散成不同的光。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_PTCT,https://powdertoy.co.uk/Wiki/W/Elements:Electronics/zh.html,20260521203740,"PTC Thermistor. Conducts with PSCN and NSCN, but only when cooled below 100C. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","正温度系数热敏电阻,只有低于100℃时才导电。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
