identifier,recipe_en,recipe_zh,production_en,production_zh,use_en,use_zh,hazard_en,hazard_zh
OMNI_PT_COPR,3 molten COPR + 1 molten TINN -> BRNZ; 3 molten COPR + 1 molten ZINC -> BRAS.,3 份熔融铜 + 1 份熔融锡 -> 青铜；3 份熔融铜 + 1 份熔融锌 -> 黄铜。,Melt copper for bronze or brass production.,熔化铜以制备青铜或黄铜。,Electrical conductor and alloy feedstock.,导电体和合金原料。,Wet oxygen can slowly corrode it into scrap.,潮湿含氧环境会使其逐渐腐蚀为碎料。
OMNI_PT_LEAD,Warm LEAD + ACID -> SALT + H2; hot LEAD + O2 -> SALT + FIRE; incident NEUT is absorbed; molten LEAD supports RSHD assembly.,温热铅 + 酸液 -> 盐 + 氢气；高温铅 + 氧气 -> 盐 + 火焰；入射中子会被吸收；熔融铅可参与辐射屏蔽体组装。,Recover recoverable scrap melt it for RSHD assembly or expose it to local acid oxygen and neutron paths.,回收可回收碎料、熔化后组装辐射屏蔽体，或用于局部酸液、氧气和中子路径实验。,Dense toxic shielding feedstock verified neutron absorber and low-melting carbon-group metal.,高密度有毒屏蔽原料、经验证的中子吸收体和低熔点碳族金属。,Acid and oxygen release heat hydrogen or fire while neutron flux and toxic contact require containment.,酸液和氧气会释放热量、氢气或火焰；中子通量和有毒接触需要围护。
OMNI_PT_TIN,3 molten COPR + 1 molten TINN -> 4 molten BRNZ; TINN below 286 K for 120 ticks -> recoverable BRMT(TINN).,3 份熔融铜 + 1 份熔融锡 -> 4 份熔融青铜；锡在 286 K 以下持续 120 刻 -> 可回收碎料。,Reheat recoverable scrap cool LAVA(TINN) or melt it with copper above 1375 K.,重熔可回收碎料、冷却熔融锡，或在 1375 K 以上与铜熔炼。,Bronze feedstock low-melting metal and reversible tin-pest experiments.,青铜原料、低熔点金属和可逆的锡瘟实验。,Prolonged cooling causes embrittlement while acid oxygen pressure and molten heat create reactive residue or scrap.,持续低温会造成脆化；酸液、氧气、压力和熔融高温会产生反应残留物或碎料。
OMNI_PT_NICL,4 molten NICL + 1 molten CHRM -> NCRM; 4 molten STEL + CHRM + NICL -> SSIL.,4 份熔融镍 + 1 份熔融铬 -> 镍铬合金；4 份熔融钢 + 铬 + 镍 -> 不锈钢。,Melt NICL with chromium or steel inputs at the documented temperature.,按说明温度将镍与铬或钢类原料熔炼。,Corrosion resistant alloy feedstock.,耐腐蚀合金原料。,High temperature alloying can melt nearby materials.,高温合金化会熔化邻近材料。
OMNI_PT_MAGN,Hot MAGN + water -> CAUS + H2; MAGN + ACID -> SALT + H2; above 800 K near O2 -> recoverable BRMT + white FIRE; 4 molten ALUM + 1 molten MAGN -> 5 molten ALMG.,热镁 + 水 -> 苛性气体 + 氢气；镁 + 酸液 -> 盐 + 氢气；800 K 以上邻近氧气时 -> 可回收碎料 + 白色火焰；4 份熔融铝 + 1 份熔融镁 -> 5 份熔融铝镁合金。,Recover recoverable scrap or melt MAGN with aluminium above 950 K.,回收可回收碎料，或将镁与铝一起加热至 950 K 以上熔炼。,Light alloy feedstock plus hot-water acid and bright-combustion experiments.,轻质合金原料，以及热水、酸和强光燃烧实验。,Hot water or acid releases hydrogen; above 800 K near O2 it can burn and leave hot scrap.,热水或酸会释放氢气；高于 800 K 且邻近氧气时会燃烧并留下高温碎料。
OMNI_PT_CHRM,4 molten NICL + 1 molten CHRM -> NCRM; 4 molten STEL + CHRM + NICL -> SSIL.,4 份熔融镍 + 1 份熔融铬 -> 镍铬合金；4 份熔融钢 + 铬 + 镍 -> 不锈钢。,Melt CHRM with its documented alloy inputs.,将铬与对应的合金原料熔炼。,Heat and corrosion resistant alloy feedstock.,耐热耐腐蚀合金原料。,High temperature alloying can melt nearby materials.,高温合金化会熔化邻近材料。
OMNI_PT_COBT,4 molten STEL + 1 molten COBT + 1 molten MOLY -> 6 molten TSTL.,4 份熔融钢 + 1 份熔融钴 + 1 份熔融钼 -> 6 份熔融工具钢。,Melt COBT with steel and molybdenum above 2950 K.,将钴与钢和钼加热至 2950 K 以上熔炼。,Tool steel feedstock.,工具钢原料。,The required temperature is high enough to melt most nearby materials.,所需温度足以熔化多数邻近材料。
OMNI_PT_MOLY,4 molten STEL + 1 molten COBT + 1 molten MOLY -> 6 molten TSTL.,4 份熔融钢 + 1 份熔融钴 + 1 份熔融钼 -> 6 份熔融工具钢。,Melt MOLY with steel and cobalt above 2950 K.,将钼与钢和钴加热至 2950 K 以上熔炼。,High temperature tool steel feedstock.,高温工具钢原料。,The required temperature is high enough to melt most nearby materials.,所需温度足以熔化多数邻近材料。
OMNI_PT_ZINC,3 molten COPR + 1 molten ZINC -> 4 molten BRAS.,3 份熔融铜 + 1 份熔融锌 -> 4 份熔融黄铜。,Melt ZINC with copper above 1375 K.,将锌与铜加热至 1375 K 以上熔炼。,Brass feedstock and sacrificial protection for nearby iron.,黄铜原料并可牺牲性保护邻近铁。,Water can corrode it into scrap while it protects iron.,水会使其腐蚀为碎料同时保护铁。
OMNI_PT_CHRC,No fixed recipe; charcoal is a combustible process material.,无固定配方；木炭是可燃工艺材料。,Heat WOOD at 650 to 873 K beside CRUC without O2 for 60 updates.,在无氧且邻近坩埚时将木材保持在 650 至 873 K 达 60 次更新。,Fuel and local process material.,燃料和局部工艺材料。,It is flammable and can ignite from fire.,其可燃并能被火焰点燃。
OMNI_PT_COKE,4 molten IRON + COKE + FLUX -> 4 molten STEL + CO2 + SLAG.,4 份熔融铁 + 焦炭 + 助熔剂 -> 4 份熔融钢 + 二氧化碳 + 炉渣。,Heat COAL above 950 K beside CRUC without O2 for 90 updates.,在无氧且邻近坩埚时将煤保持在 950 K 以上达 90 次更新。,Steelmaking carbon source.,炼钢碳源。,It is flammable and steelmaking produces hot products.,其可燃且炼钢会产生高温产物。
OMNI_PT_STEL,4 molten IRON + COKE + FLUX -> 4 molten STEL + CO2 + SLAG.,4 份熔融铁 + 焦炭 + 助熔剂 -> 4 份熔融钢 + 二氧化碳 + 炉渣。,Run the local steel recipe at 1750 K or above.,在 1750 K 以上运行局部炼钢配方。,Base material for stainless and tool steel.,不锈钢和工具钢的基础材料。,High pressure can convert it into scrap.,高压会使其转为金属碎料。
OMNI_PT_BRNZ,3 molten COPR + 1 molten TINN -> 4 molten BRNZ.,3 份熔融铜 + 1 份熔融锡 -> 4 份熔融青铜。,Melt copper and tin together above 1375 K.,将铜与锡一起加热至 1375 K 以上。,Durable conductive alloy.,耐用导电合金。,High pressure can convert it into scrap.,高压会使其转为金属碎料。
OMNI_PT_BRAS,3 molten COPR + 1 molten ZINC -> 4 molten BRAS.,3 份熔融铜 + 1 份熔融锌 -> 4 份熔融黄铜。,Melt copper and zinc together above 1375 K.,将铜与锌一起加热至 1375 K 以上。,Conductive copper alloy.,导电铜合金。,High pressure can convert it into scrap.,高压会使其转为金属碎料。
OMNI_PT_SSIL,4 molten STEL + 1 molten CHRM + 1 molten NICL -> 6 molten SSIL; SSIL + molten LEAD + SPRK(NCRM) -> 2 RSHD.,4 份熔融钢 + 1 份熔融铬 + 1 份熔融镍 -> 6 份熔融不锈钢；不锈钢 + 熔融铅 + 通电镍铬 -> 2 份屏蔽体。,"Melt steel chromium and nickel above 2200 K, then assemble SSIL beside molten LEAD and an active NCRM spark at 700 to 1200 K.",将钢铬和镍加热至 2200 K 以上熔炼，再在 700 至 1200 K 下将不锈钢放在熔融铅和通电镍铬旁组装。,High-pressure alloy and nuclear-shield assembly feedstock.,耐高压合金和核屏蔽组装原料。,Pressure or missing active spark can leave the assembly inputs unchanged or turn them into scrap.,高压或缺少有效火花会使组装输入保持不变或转为金属碎料。
OMNI_PT_NCRM,4 molten NICL + 1 molten CHRM -> 5 molten NCRM; an active NCRM spark drives SSIL and LEAD shield assembly.,4 份熔融镍 + 1 份熔融铬 -> 5 份熔融镍铬合金；通电镍铬火花驱动不锈钢和铅组装屏蔽体。,Melt nickel and chromium above 2200 K or pulse NCRM beside SSIL and molten LEAD at 700 to 1200 K.,将镍与铬加热至 2200 K 以上熔炼，或在 700 至 1200 K 下让镍铬火花位于不锈钢和熔融铅旁。,resistive heater and reusable nuclear-assembly condition.,电阻加热器和可复用核屏蔽组装条件。,Repeated sparks heat it toward melting; remove the spark to stop assembly.,反复火花会使其接近熔化；移除火花即可停止组装。
OMNI_PT_ALMG,4 molten ALUM + 1 molten MAGN -> 5 molten ALMG.,4 份熔融铝 + 1 份熔融镁 -> 5 份熔融铝镁合金。,Melt aluminium and magnesium above 950 K.,将铝与镁加热至 950 K 以上熔炼。,Light pressure resistant alloy.,轻质耐压合金。,High pressure can convert it into scrap.,高压会使其转为金属碎料。
OMNI_PT_TSTL,4 molten STEL + 1 molten COBT + 1 molten MOLY -> 6 molten TSTL.,4 份熔融钢 + 1 份熔融钴 + 1 份熔融钼 -> 6 份熔融工具钢。,Melt steel cobalt and molybdenum above 2950 K.,将钢钴和钼加热至 2950 K 以上熔炼。,High-strength tool steel with exceptional pressure resistance.,高强度工具钢，具有出色的耐压能力。,Extreme alloying temperature can melt nearby materials.,极端合金温度会熔化邻近材料。
OMNI_PT_SLAG,Steelmaking creates SLAG; mild acid treatment or cooled waste stabilization recovers it as FLUX.,炼钢生成炉渣；温和酸处理或冷却废物稳定化可将其回收为助熔剂。,Cool SLAG beside CATA and ACID at 285 to 340 K or include it in wet waste stabilization at 500 to 620 K.,将炉渣冷却后在 285 至 340 K 下放在催化剂和酸液旁，或在 500 至 620 K 下进行湿法废物稳定化。,Recoverable steelmaking by-product and flux feedstock.,可回收的炼钢副产物和助熔剂原料。,Hot slag missing catalyst or incomplete waste inputs leave hazardous material unchanged.,高温炉渣、缺少催化剂或废物输入不完整时危险物料保持不变。
OMNI_PT_FLUX,Steelmaking consumes FLUX into SLAG; mild treatment and cooled waste stabilization recover FLUX.,炼钢将助熔剂转为炉渣；温和酸处理和冷却废物稳定化可回收助熔剂。,Place FLUX in a steelmaking mixture or recover it by treating SLAG.,将助熔剂加入炼钢混合物，或处理炉渣将其回收。,Steelmaking input and recovered product of slag treatment and waste stabilization.,炼钢原料，也是炉渣处理和废物稳定化的回收产物。,Steelmaking is hot while recovery requires complete inputs and containment.,炼钢温度很高，回收则要求完整的输入和围护。
OMNI_PT_CRUC,No fixed recipe; CRUC is a local furnace condition.,无固定配方；坩埚提供局部炉体条件。,Place CRUC beside wood or coal before heating without oxygen.,在无氧加热前将坩埚放在木材或煤旁。,Enables charcoal and coke production.,启用木炭与焦炭生产。,Nearby high temperature processing can melt other materials.,附近的高温工艺会熔化其他材料。
OMNI_PT_MSCR,Older saves may contain MSCR; current reactions create BRMT instead.,旧存档可能含有 MSCR；现有反应改为生成 BRMT。,Load an older OPS containing metal scrap.,载入含有金属碎料的旧 OPS。,Preserves the source metal while converting old scrap to BRMT.,旧碎料转为 BRMT 时会保留来源金属。,Legacy particles change to BRMT when metallurgy is enabled.,启用冶金内容后，旧存档中的该类型会转为 BRMT。
OMNI_PT_NUTR,ALGA uses NUTR for growth; composting or cooled wet stabilization can recover NUTR from HUMS.,藻类消耗营养盐生长；堆肥或冷却湿法稳定化可从腐殖质回收营养盐。,Recover it from wet HUMS mixtures.,从湿润腐殖质混合物中回收。,Nutrient source for growth composting and waste treatment.,用于生长、堆肥和废物处理的营养来源。,Missing water catalyst companion waste or the required temperature window stops recovery.,缺少水、催化剂、配套废物或所需温区会停止回收。
OMNI_PT_ALGA,ALGA + NUTR + WATR + CO2 -> O2 and one converted nutrient particle.,藻类 + 营养盐 + 水 + 二氧化碳 -> 氧气并转换一粒营养盐。,Place ALGA with nutrient water and CO2 at 285 to 315 K.,在 285 至 315 K 下将藻类与营养盐水和二氧化碳放在一起。,Local oxygen production and biology loop input.,局部产氧和生物循环输入。,PATH can convert nearby algae into pathogen or humus.,病原体会将邻近藻类转为病原体或腐殖质。
OMNI_PT_MYCL,MYCL + WOOD + WATR -> HUMS + NUTR.,菌丝 + 木材 + 水 -> 腐殖质 + 营养盐。,Place MYCL beside wet wood at 285 to 315 K.,在 285 至 315 K 下将菌丝放在湿木材旁。,Decomposer that closes the local nutrient loop.,闭合局部营养循环的分解者。,PATH can convert nearby mycelium into pathogen or humus.,病原体会将邻近菌丝转为病原体或腐殖质。
OMNI_PT_SPOR,SPOR + NUTR + WATR -> MYCL plus MYCL or HUMS from nutrient.,孢子 + 营养盐 + 水 -> 菌丝并由营养盐生成菌丝或腐殖质。,Place SPOR with nutrient and water at 285 to 315 K.,在 285 至 315 K 下将孢子与营养盐和水放在一起。,Starts the local decomposer path.,启动局部分解者路径。,Simplified biology sends the growth input to HUMS.,简化生物模拟会将生长输入转为腐殖质。
OMNI_PT_PATH,PATH infects ALGA or MYCL; PERO + PATH -> WATR + HUMS at 285 to 330 K.,病原体会感染藻类或菌丝；285 至 330 K 下过氧化氢 + 病原体 -> 水 + 腐殖质。,Place PATH beside a host then treat it with STER wet BIOF or PERO.,将病原体放在宿主旁，再用消毒剂、湿润生物膜或过氧化氢处理。,Spreading biological contaminant and disinfection target.,可传播的生物污染物，也是消毒处理对象。,It propagates in its growth window; treatment fails outside the PERO window or beside hot catalyst.,会在生长温区传播；过氧化氢温区错误或邻近高温催化剂时处理失败。
OMNI_PT_STER,STER + PATH -> 2 HUMS.,消毒剂 + 病原体 -> 2 份腐殖质。,Place STER beside PATH.,将消毒剂放在病原体旁。,Local pathogen treatment material.,局部病原体处理材料。,It consumes itself during treatment.,处理时会消耗自身。
OMNI_PT_HUMS,Decomposition produces HUMS; wet composting or cooled waste stabilization recovers it as NUTR.,分解产生腐殖质；湿润堆肥或冷却废物稳定化可将其回收为营养盐。,Use FERT and WATR at 285 to 315 K or combine the required waste materials with CATA at 500 to 620 K.,在 285 至 315 K 下使用肥料和水，或在 500 至 620 K 下将所需废物与催化剂组合。,Recoverable biological by-product and nutrient-cycle material.,可回收的生物副产物和营养循环材料。,Incomplete dry or out-of-window mixtures stay unchanged and may accumulate.,输入不完整、干燥或离开温区的混合物保持不变并可能积累。
OMNI_PT_BIOF,BIOF + PATH + WATR -> BIOF + HUMS + WATR.,生物膜 + 病原体 + 水 -> 生物膜 + 腐殖质 + 水。,Place BIOF beside wet PATH.,将生物膜放在湿润病原体旁。,Reusable local pathogen filter.,可复用的局部病原体过滤器。,It only filters when local water is present.,仅在局部存在水时过滤。
OMNI_PT_NFUL,NFUL + MODR + NEUT without CROD -> hot NWST.,无控制棒时燃料 + 慢化剂 + 中子 -> 高温核废料。,Spark NGEN beside fuel and moderator while keeping CROD away.,在燃料和慢化剂旁触发中子发生器且远离控制棒。,Fuel for a local reactor path.,局部反应器路径的燃料。,Conversion produces 1700 K radioactive waste.,转换会产生 1700 K 的放射性废料。
OMNI_PT_MODR,NFUL + MODR + NEUT without CROD -> hot NWST.,无控制棒时燃料 + 慢化剂 + 中子 -> 高温核废料。,Place MODR adjacent to NFUL before adding a neutron.,在加入中子前将慢化剂放在燃料旁。,Required reusable condition for fuel conversion.,燃料转换所需的可复用条件。,It does not stop neutron behavior.,它不会阻止中子行为。
OMNI_PT_CROD,NFUL + MODR + NEUT + CROD -> fuel conversion is suppressed.,燃料 + 慢化剂 + 中子 + 控制棒 -> 燃料转换被抑制。,Place CROD adjacent to the fuel reaction area.,将控制棒放在燃料反应区域旁。,Local control for the custom fuel route.,自定义燃料路线的局部控制材料。,It only suppresses the custom fuel conversion.,它只抑制自定义燃料转换。
OMNI_PT_NCLT,NCLT + NWST at 1000 K or higher -> WTRV and 900 K NWST.,冷却剂 + 至少 1000 K 的核废料 -> 蒸汽和 900 K 核废料。,Place NCLT beside hot NWST while it is below its own steam transition.,在冷却剂自身蒸汽相变前将其放在高温废料旁。,Converts waste heat into steam.,将废料热量转为蒸汽。,It becomes steam and leaves a hot waste particle.,它会变成蒸汽并留下高温废料。
OMNI_PT_NWST,NFUL + MODR + NEUT without CROD -> hot NWST; cooled wet stabilization turns NWST and POLY into 2 RSHD.,无控制棒时燃料 + 慢化剂 + 中子 -> 高温核废料；冷却后的湿润稳定化把核废料和聚合物转为 2 份屏蔽体。,Cool NWST then combine it with SLAG HUMS POLY WATR and reusable CATA at 500 to 620 K.,冷却核废料后在 500 至 620 K 下与炉渣、腐殖质、聚合物、水和可复用催化剂组合。,Recoverable reactor by-product used in shield production.,可回收的反应器副产物，可用于制造屏蔽体。,Hot or incomplete mixtures remain radioactive and may ignite HUMS or POLY above their limits.,过热或输入不完整的混合物仍具放射性，并可能在超过限值时点燃腐殖质或聚合物。
OMNI_PT_NGEN,SPRK(NGEN) + local NFUL -> one stationary NEUT per spark pulse.,火花中子发生器 + 局部燃料 -> 每次火花脉冲一粒静止中子。,Spark NGEN beside NFUL with an empty local output slot.,在燃料旁且有空闲局部输出槽时触发中子发生器。,Controlled local neutron source for reactor experiments.,用于反应器实验的受控局部中子源。,It can trigger hot fuel conversion when moderation is present.,存在慢化剂时可触发高温燃料转换。
OMNI_PT_RSHD,Metal assembly or cooled wet stabilization produces 2 RSHD; each RSHD absorbs one local NEUT.,金属组装或冷却湿法稳定化生成 2 份屏蔽体；每份屏蔽体可吸收一粒邻近中子。,Produce shields by metal assembly or waste stabilization then place RSHD beside incoming neutrons.,通过金属组装或废物稳定化制得屏蔽体，再将其放在进入的中子旁。,Reusable nuclear shield and stabilized waste product.,可复用核屏蔽体和稳定化废物产物。,Repeated absorption heats it up to 1600 K; limit neutron exposure and cool it.,反复吸收会使其升温至最高 1600 K；应限制中子暴露并冷却。
OMNI_PT_CHLR,CHLR + H2 at 450 K or higher -> 2 HCLA.,氯气 + 氢气在 450 K 以上 -> 2 份盐酸。,Heat CHLR beside H2 above 450 K.,将氯气与氢气放在一起加热至 450 K 以上。,Exact hydrochloric-acid production for chloride chemistry.,为氯化物化学提供精确盐酸生产路径。,Toxic gas becomes corrosive hydrochloric acid.,有毒气体会变为腐蚀性盐酸。
OMNI_PT_AMON,LNTG + 3 H2 beside SPRK(CATA) at 2 P and 500 to 1000 K -> 4 AMON.,在 2 P 且 500 至 1000 K 下通电催化剂旁的液氮 + 3 氢气 -> 4 份氨气。,Use a sparked catalyst with nitrogen hydrogen pressure and the documented temperature window.,在通电催化剂旁使用氮气氢气压力和说明温区。,Ammonia feedstock for fertilizer.,肥料的氨气原料。,Toxic gas reacts with acid into fertilizer.,有毒气体会与酸液反应为肥料。
OMNI_PT_ETHL,YEST + PLNT + WATR at 295 to 310 K -> ETHL + CO2.,在 295 至 310 K 下酵母 + 植物 + 水 -> 乙醇 + 二氧化碳。,Place yeast beside plant and water in the warm fermentation window.,在温暖发酵温区将酵母放在植物和水旁。,Flammable fermentation product.,可燃发酵产物。,It is flammable and can ignite from fire.,其可燃并能被火焰点燃。
OMNI_PT_KERO,OIL beside CATA at 500 K or higher -> KERO; hot CATA can crack KERO further.,原油在至少 500 K 的催化剂旁 -> 煤油；高温催化剂可继续裂化煤油。,Heat CATA beside OIL above 500 K.,将催化剂与原油放在一起加热至 500 K 以上。,Intermediate fuel for gasoline or acetylene routes.,汽油或乙炔路线的中间燃料。,It is flammable and further heating changes the product.,其可燃且继续加热会改变产物。
OMNI_PT_GASO,KERO beside CATA at 650 K or higher -> GASO.,煤油在至少 650 K 的催化剂旁 -> 汽油。,Heat catalyst beside kerosene above 650 K.,将催化剂与煤油放在一起加热至 650 K 以上。,High energy fuel output.,高能燃料输出。,It is flammable and can ignite from fire.,其可燃并能被火焰点燃。
OMNI_PT_ACTY,KERO beside CATA at 1100 K or higher -> ACTY; 3 ACTY beside CATA at 750 K or higher -> BENZ.,煤油在至少 1100 K 的催化剂旁 -> 乙炔；至少 750 K 的催化剂旁 3 份乙炔 -> 苯。,Use a hot catalyst for cracking or cyclise three acetylene particles beside a hot catalyst.,使用高温催化剂裂化，或在高温催化剂旁环化三份乙炔。,Reactive fuel gas and aromatic feedstock.,反应性燃料气体和芳香烃原料。,Reactive flammable gas can ignite from fire.,反应性可燃气体可被火焰点燃。
